GO:0000001	mitochondrion inheritance	线粒体遗传
GO:1900686	regulation of gerfelin biosynthetic process	gerfelin生物合成过程的调控
GO:1900687	negative regulation of gerfelin biosynthetic process	gerfelin生物合成过程的负调控
GO:1900688	positive regulation of gerfelin biosynthetic process	gerfelin生物合成过程的正调控
GO:1900689	regulation of gliotoxin biosynthetic process	胶霉毒素生物合成过程的调控
GO:1900690	negative regulation of gliotoxin biosynthetic process	胶霉毒素生物合成过程的负调控
GO:1900691	positive regulation of gliotoxin biosynthetic process	胶霉毒素生物合成过程的正调控
GO:1900692	regulation of (+)-kotanin biosynthetic process	(+)-kotanin生物合成过程的调控
GO:1900693	negative regulation of (+)-kotanin biosynthetic process	(+)-kotanin生物合成过程的负调控
GO:1900694	positive regulation of (+)-kotanin biosynthetic process	(+)-kotanin生物合成过程的正调控
GO:1900695	regulation of N',N'',N'''-triacetylfusarinine C biosynthetic process	N',N'',N'''-三乙酰镰刀菌素C生物合成过程的调控
GO:1900696	negative regulation of N',N'',N'''-triacetylfusarinine C biosynthetic process	N',N'',N'''-三乙酰镰刀菌素C生物合成过程的负调控
GO:1900697	positive regulation of N',N'',N'''-triacetylfusarinine C biosynthetic process	N',N'',N'''-三乙酰镰刀菌素C生物合成过程的正调控
GO:1900698	regulation of o-orsellinic acid biosynthetic process	邻蔽辽酸生物合成过程的调控
GO:1900699	negative regulation of o-orsellinic acid biosynthetic process	邻蔽辽酸生物合成过程的负调控
GO:1900700	positive regulation of o-orsellinic acid biosynthetic process	邻蔽辽酸生物合成过程的正调控
GO:1900701	regulation of orcinol biosynthetic process	苔黑酚生物合成过程的调控
GO:1900702	negative regulation of orcinol biosynthetic process	苔黑酚生物合成过程的负调控
GO:1900703	positive regulation of orcinol biosynthetic process	苔黑酚生物合成过程的正调控
GO:1900704	regulation of siderophore biosynthetic process	铁载体生物合成过程的调控
GO:1900705	negative regulation of siderophore biosynthetic process	铁载体生物合成过程的负调控
GO:1900706	positive regulation of siderophore biosynthetic process	铁载体生物合成过程的正调控
GO:1900707	regulation of tensidol A biosynthetic process	tensidol A生物合成过程的调控
GO:1900708	negative regulation of tensidol A biosynthetic process	tensidol A生物合成过程的负调控
GO:1900709	positive regulation of tensidol A biosynthetic process	tensidol A生物合成过程的正调控
GO:1900710	regulation of tensidol B biosynthetic process	tensidol B生物合成过程的调控
GO:1900711	negative regulation of tensidol B biosynthetic process	tensidol B生物合成过程的负调控
GO:1900712	positive regulation of tensidol B biosynthetic process	tensidol B生物合成过程的正调控
GO:1900713	regulation of violaceol I biosynthetic process	violaceol I生物合成过程的调控
GO:1900714	negative regulation of violaceol I biosynthetic process	violaceol I生物合成过程的负调控
GO:1900715	positive regulation of violaceol I biosynthetic process	violaceol I生物合成过程的正调控
GO:1900716	regulation of violaceol II biosynthetic process	violaceol II生物合成过程的调控
GO:1900717	negative regulation of violaceol II biosynthetic process	violaceol II生物合成过程的负调控
GO:1900718	positive regulation of violaceol II biosynthetic process	violaceol II生物合成过程的正调控
GO:1900719	regulation of uterine smooth muscle relaxation	子宫平滑肌舒张的调控
GO:1900720	negative regulation of uterine smooth muscle relaxation	子宫平滑肌舒张的负调控
GO:1900721	positive regulation of uterine smooth muscle relaxation	子宫平滑肌舒张的正调控
GO:1900722	regulation of protein adenylylation	蛋白质腺苷酰化的调控
GO:1900723	negative regulation of protein adenylylation	蛋白质腺苷酰化的负调控
GO:1900724	positive regulation of protein adenylylation	蛋白质腺苷酰化的正调控
GO:1900726	osmoregulated periplasmic glucan catabolic process	渗透调节周质葡聚糖分解代谢过程
GO:1900727	osmoregulated periplasmic glucan biosynthetic process	渗透调节周质葡聚糖生物合成过程
GO:1900729	regulation of adenylate cyclase-inhibiting opioid receptor signaling pathway	腺苷酸环化酶抑制型阿片受体信号传导通路的调控
GO:1900730	negative regulation of adenylate cyclase-inhibiting opioid receptor signaling pathway	腺苷酸环化酶抑制型阿片受体信号传导通路的负调控
GO:1900731	positive regulation of adenylate cyclase-inhibiting opioid receptor signaling pathway	腺苷酸环化酶抑制型阿片受体信号传导通路的正调控
GO:1900732	regulation of polyketide biosynthetic process	聚酮化合物生物合成过程的调控
GO:1900733	negative regulation of polyketide biosynthetic process	聚酮化合物生物合成过程的负调控
GO:1900734	positive regulation of polyketide biosynthetic process	聚酮化合物生物合成过程的正调控
GO:1900735	positive regulation of flocculation	絮凝的正调控
GO:1900736	regulation of phospholipase C-activating G protein-coupled receptor signaling pathway	磷脂酶C激活型G蛋白偶联受体信号传导通路的调控
GO:1900737	negative regulation of phospholipase C-activating G protein-coupled receptor signaling pathway	磷脂酶C激活型G蛋白偶联受体信号传导通路的负调控
GO:1900738	positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway	磷脂酶C激活型G蛋白偶联受体信号传导通路的正调控
GO:1900741	regulation of filamentous growth of a population of unicellular organisms in response to pH	对pH响应的单细胞生物群体丝状生长的调控
GO:1900742	negative regulation of filamentous growth of a population of unicellular organisms in response to pH	对pH响应的单细胞生物群体丝状生长的负调控
GO:1900743	positive regulation of filamentous growth of a population of unicellular organisms in response to pH	对pH响应的单细胞生物群体丝状生长的正调控
GO:1900744	regulation of p38MAPK cascade	p38MAPK级联的调控
GO:1900745	positive regulation of p38MAPK cascade	p38MAPK级联的正调控
GO:1900746	regulation of vascular endothelial growth factor signaling pathway	血管内皮生长因子信号传导通路的调控
GO:1900747	negative regulation of vascular endothelial growth factor signaling pathway	血管内皮生长因子信号传导通路的负调控
GO:1900748	positive regulation of vascular endothelial growth factor signaling pathway	血管内皮生长因子信号传导通路的正调控
GO:1900749	(R)-carnitine transport	(R)-肉碱运输
GO:1900750	oligopeptide binding	寡肽结合
GO:1900751	4-(trimethylammonio)butanoate transport	4-(三甲基铵)丁酸运输
GO:1900752	malonic acid transport	丙二酸运输
GO:1900753	doxorubicin transport	多柔比星运输
GO:1900754	4-hydroxyphenylacetate transport	4-羟基苯乙酸运输
GO:1900756	protein processing in phagocytic vesicle	吞噬囊泡中的蛋白质加工
GO:1900760	negative regulation of sterigmatocystin biosynthetic process	杂色曲霉素生物合成过程的负调控
GO:1900762	averantin catabolic process	averantin分解代谢过程
GO:1900763	averantin biosynthetic process	averantin生物合成过程
GO:1900765	emericellin catabolic process	emericellin分解代谢过程
GO:1900766	emericellin biosynthetic process	emericellin生物合成过程
GO:1900768	fonsecin catabolic process	fonsecin分解代谢过程
GO:1900769	fonsecin biosynthetic process	fonsecin生物合成过程
GO:1900772	fumitremorgin B biosynthetic process	烟曲霉震颤素B生物合成过程
GO:1900781	fumiquinazoline C biosynthetic process	烟曲霉喹啉C生物合成过程
GO:1900786	naphtho-gamma-pyrone catabolic process	萘-γ-吡喃酮分解代谢过程
GO:1900787	naphtho-gamma-pyrone biosynthetic process	萘-γ-吡喃酮生物合成过程
GO:1900789	pseurotin A catabolic process	pseurotin A分解代谢过程
GO:1900790	pseurotin A biosynthetic process	pseurotin A生物合成过程
GO:1900792	shamixanthone catabolic process	shamixanthone分解代谢过程
GO:1900793	shamixanthone biosynthetic process	shamixanthone生物合成过程
GO:1900796	terrequinone A biosynthetic process	terrequinone A生物合成过程
GO:1900801	cspyrone B1 catabolic process	cspyrone B1分解代谢过程
GO:1900802	cspyrone B1 biosynthetic process	cspyrone B1生物合成过程
GO:1900805	brevianamide F biosynthetic process	短密青霉酰胺F生物合成过程
GO:1900809	fumigaclavine C biosynthetic process	烟曲霉克拉维碱C生物合成过程
GO:1900811	helvolic acid catabolic process	裸霉素分解代谢过程
GO:1900812	helvolic acid biosynthetic process	裸霉素生物合成过程
GO:1900813	monodictyphenone metabolic process	monodictyphenone代谢过程
GO:1900814	monodictyphenone catabolic process	monodictyphenone分解代谢过程
GO:1900815	monodictyphenone biosynthetic process	monodictyphenone生物合成过程
GO:1900817	ochratoxin A catabolic process	赭曲霉毒素A分解代谢过程
GO:1900818	ochratoxin A biosynthetic process	赭曲霉毒素A生物合成过程
GO:1900819	orlandin metabolic process	orlandin代谢过程
GO:1900820	orlandin catabolic process	orlandin分解代谢过程
GO:1900821	orlandin biosynthetic process	orlandin生物合成过程
GO:1900822	regulation of ergot alkaloid biosynthetic process	麦角生物碱生物合成过程的调控
GO:1900823	negative regulation of ergot alkaloid biosynthetic process	麦角生物碱生物合成过程的负调控
GO:1900824	positive regulation of ergot alkaloid biosynthetic process	麦角生物碱生物合成过程的正调控
GO:1900825	regulation of membrane depolarization during cardiac muscle cell action potential	心肌细胞动作电位期间膜去极化的调控
GO:1900826	negative regulation of membrane depolarization during cardiac muscle cell action potential	心肌细胞动作电位期间膜去极化的负调控
GO:1900827	positive regulation of membrane depolarization during cardiac muscle cell action potential	心肌细胞动作电位期间膜去极化的正调控
GO:1900834	regulation of emericellin biosynthetic process	emericellin生物合成过程的调控
GO:1900835	negative regulation of emericellin biosynthetic process	emericellin生物合成过程的负调控
GO:1900836	positive regulation of emericellin biosynthetic process	emericellin生物合成过程的正调控
GO:1900837	regulation of fumigaclavine C biosynthetic process	烟曲霉克拉维碱C生物合成过程的调控
GO:1900838	negative regulation of fumigaclavine C biosynthetic process	烟曲霉克拉维碱C生物合成过程的负调控
GO:1900839	positive regulation of fumigaclavine C biosynthetic process	烟曲霉克拉维碱C生物合成过程的正调控
GO:1900840	regulation of helvolic acid biosynthetic process	裸霉素生物合成过程的调控
GO:1900841	negative regulation of helvolic acid biosynthetic process	裸霉素生物合成过程的负调控
GO:1900842	positive regulation of helvolic acid biosynthetic process	裸霉素生物合成过程的正调控
GO:1900843	regulation of monodictyphenone biosynthetic process	monodictyphenone生物合成过程的调控
GO:1900844	negative regulation of monodictyphenone biosynthetic process	monodictyphenone生物合成过程的负调控
GO:1900845	positive regulation of monodictyphenone biosynthetic process	monodictyphenone生物合成过程的正调控
GO:1900846	regulation of naphtho-gamma-pyrone biosynthetic process	萘-γ-吡喃酮生物合成过程的调控
GO:1900847	negative regulation of naphtho-gamma-pyrone biosynthetic process	萘-γ-吡喃酮生物合成过程的负调控
GO:1900848	positive regulation of naphtho-gamma-pyrone biosynthetic process	萘-γ-吡喃酮生物合成过程的正调控
GO:1900849	regulation of pseurotin A biosynthetic process	pseurotin A生物合成过程的调控
GO:1900850	negative regulation of pseurotin A biosynthetic process	pseurotin A生物合成过程的负调控
GO:1900851	positive regulation of pseurotin A biosynthetic process	pseurotin A生物合成过程的正调控
GO:1900854	positive regulation of terrequinone A biosynthetic process	terrequinone A生物合成过程的正调控
GO:1900864	mitochondrial RNA modification	线粒体RNA修饰
GO:1900865	chloroplast RNA modification	叶绿体RNA修饰
GO:1900866	glycolate transport	乙醇酸运输
GO:1900868	sarcinapterin biosynthetic process	sarcinapterin生物合成过程
GO:1900871	chloroplast mRNA modification	叶绿体mRNA修饰
GO:1900873	pentadec-1-ene biosynthetic process	1-十五碳烯生物合成过程
GO:1900875	heptadec-1-ene biosynthetic process	1-十七碳烯生物合成过程
GO:1900877	nonadec-1-ene biosynthetic process	1-十九碳烯生物合成过程
GO:1900884	regulation of tridecane biosynthetic process	十三烷生物合成过程的调控
GO:1900885	negative regulation of tridecane biosynthetic process	十三烷生物合成过程的负调控
GO:1900886	positive regulation of tridecane biosynthetic process	十三烷生物合成过程的正调控
GO:1900887	regulation of pentadecane biosynthetic process	十五烷生物合成过程的调控
GO:1900888	negative regulation of pentadecane biosynthetic process	十五烷生物合成过程的负调控
GO:1900889	positive regulation of pentadecane biosynthetic process	十五烷生物合成过程的正调控
GO:1900896	regulation of heptadecane biosynthetic process	十七烷生物合成过程的调控
GO:1900897	negative regulation of heptadecane biosynthetic process	十七烷生物合成过程的负调控
GO:1900898	positive regulation of heptadecane biosynthetic process	十七烷生物合成过程的正调控
GO:1900902	regulation of hexadecanal biosynthetic process	十六醛生物合成过程的调控
GO:1900903	negative regulation of hexadecanal biosynthetic process	十六醛生物合成过程的负调控
GO:1900904	positive regulation of hexadecanal biosynthetic process	十六醛生物合成过程的正调控
GO:1900911	regulation of olefin biosynthetic process	烯烃生物合成过程的调控
GO:1900912	negative regulation of olefin biosynthetic process	烯烃生物合成过程的负调控
GO:1900913	positive regulation of olefin biosynthetic process	烯烃生物合成过程的正调控
GO:1900923	regulation of glycine import across plasma membrane	甘氨酸跨质膜输入的调控
GO:1900924	negative regulation of glycine import across plasma membrane	甘氨酸跨质膜输入的负调控
GO:1900925	positive regulation of glycine import across plasma membrane	甘氨酸跨质膜输入的正调控
GO:1900926	regulation of L-threonine import across plasma membrane	L-苏氨酸跨质膜输入的调控
GO:1900927	negative regulation of L-threonine import across plasma membrane	L-苏氨酸跨质膜输入的负调控
GO:1900928	positive regulation of L-threonine import across plasma membrane	L-苏氨酸跨质膜输入的正调控
GO:1900929	regulation of L-tyrosine import across plasma membrane	L-酪氨酸跨质膜输入的调控
GO:1900930	negative regulation of L-tyrosine import across plasma membrane	L-酪氨酸跨质膜输入的负调控
GO:1900931	positive regulation of L-tyrosine import across plasma membrane	L-酪氨酸跨质膜输入的正调控
GO:1900949	positive regulation of isopentenyl diphosphate biosynthetic process, methylerythritol phosphate pathway	异戊烯二磷酸生物合成过程（甲基赤藓糖醇磷酸通路）的正调控
GO:1900962	regulation of methanophenazine biosynthetic process	甲烷吩嗪生物合成过程的调控
GO:1900963	negative regulation of methanophenazine biosynthetic process	甲烷吩嗪生物合成过程的负调控
GO:1900964	positive regulation of methanophenazine biosynthetic process	甲烷吩嗪生物合成过程的正调控
GO:1900971	regulation of sarcinapterin biosynthetic process	sarcinapterin生物合成过程的调控
GO:1900972	negative regulation of sarcinapterin biosynthetic process	sarcinapterin生物合成过程的负调控
GO:1900973	positive regulation of sarcinapterin biosynthetic process	sarcinapterin生物合成过程的正调控
GO:1900980	regulation of phenazine biosynthetic process	吩嗪生物合成过程的调控
GO:1900981	negative regulation of phenazine biosynthetic process	吩嗪生物合成过程的负调控
GO:1900982	positive regulation of phenazine biosynthetic process	吩嗪生物合成过程的正调控
GO:1900985	vindoline biosynthetic process	长春多灵生物合成过程
GO:1900988	ajmaline biosynthetic process	阿马灵生物合成过程
GO:1900991	scopolamine biosynthetic process	东莨菪碱生物合成过程
GO:1900994	(-)-secologanin biosynthetic process	(-)-裂环马钱子苷生物合成过程
GO:1900995	ubiquinone-6 binding	泛醌-6结合
GO:1900996	benzene catabolic process	苯分解代谢过程
GO:1900997	benzene biosynthetic process	苯生物合成过程
GO:1900998	nitrobenzene catabolic process	硝基苯分解代谢过程
GO:1900999	nitrobenzene biosynthetic process	硝基苯生物合成过程
GO:1901000	regulation of response to salt stress	对盐胁迫响应的调控
GO:1901001	negative regulation of response to salt stress	对盐胁迫响应的负调控
GO:1901002	positive regulation of response to salt stress	对盐胁迫响应的正调控
GO:1901003	negative regulation of fermentation	发酵的负调控
GO:1901009	(S)-scoulerine biosynthetic process	(S)-斯库来灵生物合成过程
GO:1901012	(S)-reticuline biosynthetic process	(S)-网状番荔枝碱生物合成过程
GO:1901015	3alpha(S)-strictosidine biosynthetic process	3α(S)-马钱子苷生物合成过程
GO:1901017	negative regulation of potassium ion transmembrane transporter activity	钾离子跨膜转运蛋白活性的负调控
GO:1901020	negative regulation of calcium ion transmembrane transporter activity	钙离子跨膜转运蛋白活性的负调控
GO:1901022	4-hydroxyphenylacetate metabolic process	4-羟基苯乙酸代谢过程
GO:1901023	4-hydroxyphenylacetate catabolic process	4-羟基苯乙酸分解代谢过程
GO:1901024	4-hydroxyphenylacetate biosynthetic process	4-羟基苯乙酸生物合成过程
GO:1901026	ripoptosome assembly involved in necroptotic process	参与程序性坏死过程的ripoptosome组装
GO:1901027	dextrin catabolic process	糊精分解代谢过程
GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	参与凋亡信号传导通路的线粒体外膜通透化的调控
GO:1901029	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	参与凋亡信号传导通路的线粒体外膜通透化的负调控
GO:1901030	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	参与凋亡信号传导通路的线粒体外膜通透化的正调控
GO:1901031	regulation of response to reactive oxygen species	对活性氧响应的调控
GO:1901032	negative regulation of response to reactive oxygen species	对活性氧响应的负调控
GO:1901033	positive regulation of response to reactive oxygen species	对活性氧响应的正调控
GO:1901034	regulation of L-glutamine import across plasma membrane	L-谷氨酰胺跨质膜输入的调控
GO:1901035	negative regulation of L-glutamine import across plasma membrane	L-谷氨酰胺跨质膜输入的负调控
GO:1901036	positive regulation of L-glutamine import across plasma membrane	L-谷氨酰胺跨膜输入的正调控
GO:1901038	cyanidin 3-O-glucoside metabolic process	花青素3-O-葡糖苷代谢过程
GO:1901039	regulation of peptide antigen transport	肽抗原运输的调控
GO:1901040	negative regulation of peptide antigen transport	肽抗原运输的负调控
GO:1901041	positive regulation of peptide antigen transport	肽抗原运输的正调控
GO:1901045	negative regulation of egg-laying behavior	产卵行为的负调控
GO:1901046	positive regulation of egg-laying behavior	产卵行为的正调控
GO:1901051	atropine biosynthetic process	阿托品生物合成过程
GO:1901057	trimethylenediamine biosynthetic process	三亚甲基二胺生物合成过程
GO:1901059	p-hydroxyphenyl lignin catabolic process	对羟基苯基木质素分解代谢过程
GO:1901060	p-hydroxyphenyl lignin biosynthetic process	对羟基苯基木质素生物合成过程
GO:1901062	guaiacyl lignin catabolic process	愈创木基木质素分解代谢过程
GO:1901063	guaiacyl lignin biosynthetic process	愈创木基木质素生物合成过程
GO:1901065	syringal lignin catabolic process	紫丁香基木质素分解代谢过程
GO:1901066	syringal lignin biosynthetic process	紫丁香基木质素生物合成过程
GO:1901067	ferulate catabolic process	阿魏酸盐分解代谢过程
GO:1901069	guanosine-containing compound catabolic process	含鸟苷化合物分解代谢过程
GO:1901070	guanosine-containing compound biosynthetic process	含鸟苷化合物生物合成过程
GO:1901072	glucosamine-containing compound catabolic process	含葡糖胺化合物分解代谢过程
GO:1901073	glucosamine-containing compound biosynthetic process	含葡糖胺化合物生物合成过程
GO:1901074	regulation of engulfment of apoptotic cell	凋亡细胞吞噬的调控
GO:1901075	negative regulation of engulfment of apoptotic cell	凋亡细胞吞噬的负调控
GO:1901076	positive regulation of engulfment of apoptotic cell	凋亡细胞吞噬的正调控
GO:1901077	regulation of relaxation of muscle	肌肉舒张的调控
GO:1901078	negative regulation of relaxation of muscle	肌肉舒张的负调控
GO:1901079	positive regulation of relaxation of muscle	肌肉舒张的正调控
GO:1901080	regulation of relaxation of smooth muscle	平滑肌舒张的调控
GO:1901081	negative regulation of relaxation of smooth muscle	平滑肌舒张的负调控
GO:1901082	positive regulation of relaxation of smooth muscle	平滑肌舒张的正调控
GO:1901085	pyrrolizidine alkaloid biosynthetic process	吡咯里西啶生物碱生物合成过程
GO:1901086	benzylpenicillin metabolic process	苄青霉素代谢过程
GO:1901087	benzylpenicillin catabolic process	苄青霉素分解代谢过程
GO:1901088	benzylpenicillin biosynthetic process	苄青霉素生物合成过程
GO:1901090	regulation of protein tetramerization	蛋白质四聚化的调控
GO:1901091	negative regulation of protein tetramerization	蛋白质四聚化的负调控
GO:1901092	positive regulation of protein tetramerization	蛋白质四聚化的正调控
GO:1901093	regulation of protein homotetramerization	蛋白质同源四聚化的调控
GO:1901094	negative regulation of protein homotetramerization	蛋白质同源四聚化的负调控
GO:1901095	positive regulation of protein homotetramerization	蛋白质同源四聚化的正调控
GO:1901096	regulation of autophagosome maturation	自噬体成熟的调控
GO:1901097	negative regulation of autophagosome maturation	自噬体成熟的负调控
GO:1901098	positive regulation of autophagosome maturation	自噬体成熟的正调控
GO:1901099	negative regulation of signal transduction in absence of ligand	无配体时信号转导的负调控
GO:1901103	gramicidin S biosynthetic process	短杆菌肽S生物合成过程
GO:1901105	tetracenomycin C catabolic process	四并霉素C分解代谢过程
GO:1901106	tetracenomycin C biosynthetic process	四并霉素C生物合成过程
GO:1901108	granaticin catabolic process	granaticin分解代谢过程
GO:1901109	granaticin biosynthetic process	granaticin生物合成过程
GO:1901111	actinorhodin catabolic process	放线菌紫素分解代谢过程
GO:1901112	actinorhodin biosynthetic process	放线菌紫素生物合成过程
GO:1901114	erythromycin catabolic process	红霉素分解代谢过程
GO:1901115	erythromycin biosynthetic process	红霉素生物合成过程
GO:1901117	cephamycin C catabolic process	头霉素C分解代谢过程
GO:1901118	cephamycin C biosynthetic process	头霉素C生物合成过程
GO:1901120	tobramycin catabolic process	妥布霉素分解代谢过程
GO:1901121	tobramycin biosynthetic process	妥布霉素生物合成过程
GO:1901123	bacitracin A catabolic process	杆菌肽A分解代谢过程
GO:1901124	bacitracin A biosynthetic process	杆菌肽A生物合成过程
GO:1901126	candicidin catabolic process	杀念珠菌素分解代谢过程
GO:1901127	candicidin biosynthetic process	杀念珠菌素生物合成过程
GO:1901130	gentamycin biosynthetic process	庆大霉素生物合成过程
GO:1901132	kanamycin catabolic process	卡那霉素分解代谢过程
GO:1901133	kanamycin biosynthetic process	卡那霉素生物合成过程
GO:1901135	carbohydrate derivative metabolic process	碳水化合物衍生物代谢过程
GO:1901136	carbohydrate derivative catabolic process	碳水化合物衍生物分解代谢过程
GO:1901137	carbohydrate derivative biosynthetic process	碳水化合物衍生物生物合成过程
GO:1901140	p-coumaryl alcohol transport	对香豆醇运输
GO:1901141	regulation of lignin biosynthetic process	木质素生物合成过程的调控
GO:1901142	insulin metabolic process	胰岛素代谢过程
GO:1901143	insulin catabolic process	胰岛素分解代谢过程
GO:1901145	mesenchymal cell apoptotic process involved in nephron morphogenesis	参与肾单位形态发生的间充质细胞凋亡过程
GO:1901148	gene expression involved in extracellular matrix organization	参与细胞外基质组织的基因表达
GO:1901149	salicylic acid binding	水杨酸结合
GO:1901151	vistamycin catabolic process	核糖霉素分解代谢过程
GO:1901152	vistamycin biosynthetic process	核糖霉素生物合成过程
GO:1901154	paromomycin catabolic process	巴龙霉素分解代谢过程
GO:1901155	paromomycin biosynthetic process	巴龙霉素生物合成过程
GO:1901158	neomycin biosynthetic process	新霉素生物合成过程
GO:1901159	D-xylulose 5-phosphate biosynthetic process	D-木酮糖5-磷酸生物合成过程
GO:1901161	primary amino compound catabolic process	伯氨基化合物分解代谢过程
GO:1901162	primary amino compound biosynthetic process	伯氨基化合物生物合成过程
GO:1901163	regulation of trophoblast cell migration	滋养层细胞迁移的调控
GO:1901164	negative regulation of trophoblast cell migration	滋养层细胞迁移的负调控
GO:1901165	positive regulation of trophoblast cell migration	滋养层细胞迁移的正调控
GO:1901166	neural crest cell migration involved in autonomic nervous system development	参与自主神经系统发育的神经嵴细胞迁移
GO:1901168	3-chlorocatechol catabolic process	3-氯儿茶酚分解代谢过程
GO:1901169	3-chlorocatechol biosynthetic process	3-氯儿茶酚生物合成过程
GO:1901170	naphthalene catabolic process	萘分解代谢过程
GO:1901173	phytoene catabolic process	八氢番茄红素分解代谢过程
GO:1901174	phytoene biosynthetic process	八氢番茄红素生物合成过程
GO:1901176	lycopene catabolic process	番茄红素分解代谢过程
GO:1901177	lycopene biosynthetic process	番茄红素生物合成过程
GO:1901179	spheroidene catabolic process	球形烯分解代谢过程
GO:1901180	spheroidene biosynthetic process	球形烯生物合成过程
GO:1901181	negative regulation of cellular response to caffeine	细胞对咖啡因响应的负调控
GO:1901183	positive regulation of camalexin biosynthetic process	小檗碱样植保素(camalexin)生物合成过程的正调控
GO:1901184	regulation of ERBB signaling pathway	ERBB信号传导通路的调控
GO:1901185	negative regulation of ERBB signaling pathway	ERBB信号传导通路的负调控
GO:1901186	positive regulation of ERBB signaling pathway	ERBB信号传导通路的正调控
GO:1901187	regulation of ephrin receptor signaling pathway	ephrin受体信号传导通路的调控
GO:1901188	negative regulation of ephrin receptor signaling pathway	ephrin受体信号传导通路的负调控
GO:1901189	positive regulation of ephrin receptor signaling pathway	ephrin受体信号传导通路的正调控
GO:1901190	regulation of formation of translation initiation ternary complex	翻译起始三元复合体形成的调控
GO:1901191	negative regulation of formation of translation initiation ternary complex	翻译起始三元复合体形成的负调控
GO:1901192	positive regulation of formation of translation initiation ternary complex	翻译起始三元复合体形成的正调控
GO:1901193	regulation of formation of translation preinitiation complex	翻译前起始复合体形成的调控
GO:1901194	negative regulation of formation of translation preinitiation complex	翻译前起始复合体形成的负调控
GO:1901195	positive regulation of formation of translation preinitiation complex	翻译前起始复合体形成的正调控
GO:1901201	regulation of extracellular matrix assembly	细胞外基质组装的调控
GO:1901202	negative regulation of extracellular matrix assembly	细胞外基质组装的负调控
GO:1901203	positive regulation of extracellular matrix assembly	细胞外基质组装的正调控
GO:1901207	regulation of heart looping	心脏环化的调控
GO:1901208	negative regulation of heart looping	心脏环化的负调控
GO:1901209	positive regulation of heart looping	心脏环化的正调控
GO:1901210	regulation of cardiac chamber formation	心腔形成的调控
GO:1901211	negative regulation of cardiac chamber formation	心腔形成的负调控
GO:1901212	positive regulation of cardiac chamber formation	心腔形成的正调控
GO:1901219	regulation of cardiac chamber morphogenesis	心腔形态发生的调控
GO:1901220	negative regulation of cardiac chamber morphogenesis	心腔形态发生的负调控
GO:1901221	positive regulation of cardiac chamber morphogenesis	心腔形态发生的正调控
GO:1901222	regulation of non-canonical NF-kappaB signal transduction	非经典NF-κB信号转导的调控
GO:1901223	negative regulation of non-canonical NF-kappaB signal transduction	非经典NF-κB信号转导的负调控
GO:1901224	positive regulation of non-canonical NF-kappaB signal transduction	非经典NF-κB信号转导的正调控
GO:1901232	regulation of convergent extension involved in axis elongation	参与体轴延长的收敛伸展的调控
GO:1901235	(R)-carnitine transmembrane transporter activity	(R)-肉碱跨膜转运蛋白活性
GO:1901236	4-(trimethylammonio)butanoate transmembrane transporter activity	4-(三甲基铵)丁酸跨膜转运蛋白活性
GO:1901238	ABC-type tungstate transporter activity	ABC型钨酸盐转运蛋白活性
GO:1901239	malonate(1-) transmembrane transporter activity	丙二酸根(1-)跨膜转运蛋白活性
GO:1901241	4-hydroxyphenylacetate transmembrane transporter activity	4-羟基苯乙酸跨膜转运蛋白活性
GO:1901242	ABC-type doxorubicin transporter activity	ABC型多柔比星转运蛋白活性
GO:1901245	positive regulation of toll-like receptor 9 signaling pathway by B cell receptor internalization	B细胞受体内化对Toll样受体9信号传导通路的正调控
GO:1901246	regulation of lung ciliated cell differentiation	肺纤毛细胞分化的调控
GO:1901247	negative regulation of lung ciliated cell differentiation	肺纤毛细胞分化的负调控
GO:1901248	positive regulation of lung ciliated cell differentiation	肺纤毛细胞分化的正调控
GO:1901249	regulation of lung goblet cell differentiation	肺杯状细胞分化的调控
GO:1901250	negative regulation of lung goblet cell differentiation	肺杯状细胞分化的负调控
GO:1901251	positive regulation of lung goblet cell differentiation	肺杯状细胞分化的正调控
GO:1901252	regulation of intracellular transport of viral material	病毒物质细胞内运输的调控
GO:1901253	negative regulation of intracellular transport of viral material	病毒物质细胞内运输的负调控
GO:1901254	positive regulation of intracellular transport of viral material	病毒物质细胞内运输的正调控
GO:1901255	nucleotide-excision repair involved in interstrand cross-link repair	参与链间交联修复的核苷酸切除修复
GO:1901256	regulation of macrophage colony-stimulating factor production	巨噬细胞集落刺激因子产生的调控
GO:1901257	negative regulation of macrophage colony-stimulating factor production	巨噬细胞集落刺激因子产生的负调控
GO:1901258	positive regulation of macrophage colony-stimulating factor production	巨噬细胞集落刺激因子产生的正调控
GO:1901259	chloroplast rRNA processing	叶绿体rRNA加工
GO:1901261	regulation of sorocarp spore cell differentiation	果柄孢子细胞分化的调控
GO:1901262	negative regulation of sorocarp spore cell differentiation	果柄孢子细胞分化的负调控
GO:1901263	positive regulation of sorocarp spore cell differentiation	果柄孢子细胞分化的正调控
GO:1901264	carbohydrate derivative transport	碳水化合物衍生物运输
GO:1901265	nucleoside phosphate binding	核苷磷酸结合
GO:1901267	cephalosporin C catabolic process	头孢菌素C分解代谢过程
